Escalar,Percentil Min,Percentil Max,TotalCorrectoMin,TotalCorrectoMax,TotalMovMax,TotalMovMin,TotalInitTimeMax,TotalInitTimeMin,TotalExecMax,TotalExecMin,TotalTimeMax,TotalTimeMin
2,0,0.99,0,0,1000,104,1000,270,1000,793,1000,876
3,1,1,0,0,103,93,269,260,792,742,875,838
4,2,2,0,0,92,79,259,226,741,725,837,832
5,3,5,0,0,78,72,225,184,724,623,831,736
6,6,10,0,0,71,61,183,116,622,550,735,641
7,11,18,1,1,60,51,115,94,549,483,640,562
8,19,28,2,2,50,45,93,79,482,410,561,481
9,29,40,2,2,44,39,78,66,409,350,480,433
10,41,59,3,3,38,32,65,51,349,274,432,335
11,60,71,4,4,31,26,50,45,273,239,334,298
12,72,81,5,5,25,20,44,40,238,203,297,257
13,82,89,6,6,19,16,39,31,202,180,256,230
14,90,94,6,6,15,11,30,25,179,171,229,203
15,95,97,7,7,10,8,24,22,170,160,202,192
16,98,98,7,7,7,7,22,22,159,158,191,189
17,99,99,8,8,7,7,21,18,157,152,188,186
18,99.01,100,9,10,6,0,17,0,151,0,185,0
Sample size,0,0,126,126,126,126,126,126,126,126,126,126
